구매id,리뷰날짜,구매옵션,리뷰내용,리뷰점수,수량,리뷰내용_length
husu******,2026-01-20 13:03:32.943000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,남편이 다리를 2번째다쳐서 대여도 이곳에서두번째입니다 너무만족했어서 이번에도바로선택했구요 역시만족합니다 깨끗하고 상품최상입니다 또연장할겁니다항상감사합니다,5,1,85
cjy1***,2026-01-22 01:38:56.135000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,비대면이라 편하고 휠체어도 부드럽게 잘 움직여서 좋았습니딘,5,1,32
tton*****,2026-01-10 11:09:39.099000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,"너무 착한 가격에
신제품과 같은 사양으로
깨끗하게 관리된 휠체어를 이용해서
잘 나아서 다시 잘 가져다두었습니다~
대박 나시길~~",5,1,71
lenp*****,2025-12-07 23:37:37.968000+00:00,제품선택: 알루미늄 휠체어대여/어린이/작은(택배불가) / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,아이가 필요했는데 상태도좋고 깔끔하고 빌리고 반납하고 쉬워서 좋았어요,5,1,38
ppig******,2025-11-15 03:08:38.893000+00:00,제품선택: 고급 알루미늄 휠체어대여/컴팩트형(택배불가) / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,한 달 정도 썼는데 굉장히 가볍고 편했어요! 핸들 조작도 편하고 앉는 사람도 편하다고 하셨어요. 감사합니다~,5,1,60
mj****,2025-11-02 11:28:53.770000+00:00,제품선택: 고급 알루미늄 휠체어대여/컴팩트형(택배불가) / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,"필요할 때 예약해서 찾고 반납도 간편해서 정말 좋아요. 다리를 다치신 뒤 잘 걷지 못하시는 아빠를 위해 휠체어를 대여했는데, 상태가 깨끗하고 움직임이 부드러워 편하게 잘 이용했습니다.",5,1,102
dong***,2025-09-28 13:51:22.839000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,"이거 없으면 진짜 큰일날뻔했어요... 
하지 부위 골절환자에게 필수템이에요",5,1,41
athe*****,2025-10-17 06:20:08.499000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,"소통 빠르고 
친절한 안내 좋아요! 아프면 안되겠지만 그럴일 생기면 또 이용할듯해요!",5,1,47
csun***,2025-10-05 09:25:15.072000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,"급하게 필요했는데 너무나 잘 사용했어요.
새것 같은 상태의 훨체어라 상태도 좋았어요",5,1,46
jj****,2025-08-16 12:35:35.485000+00:00,제품선택: 고급 알루미늄 휠체어대여/컴팩트형(택배불가) / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,"생각보다 가볍고 저렴하게 대여했어요~
대여한거라 깨끗할지 걱정했는데 깨끗하고 새상품 수준이라 완전 만족해요.",5,1,60
cana******,2025-08-25 15:37:24.737000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,평생 처음 발가락골절로 수술하고 암울했던 시기를 휠체어 덕분에 특별하게 지냈습니다. 감사해요!!!,5,1,54
yeji****,2025-09-13 02:47:26.096000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,어머니가 골절로 병원 치료 중인데 편하게 잘 쓰고 계십니다.,5,1,33
mili******,2025-07-07 23:24:02.020000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,"골절수술하고 목발러생활이 너무 힘들더라구요
집안에서는 주부라 컴터의자를 한발로 끌고 다니면서
집안일 했는데 바퀴도 시원찮고
좀 위험하더라구요;
대여 하고 써보신 후기듣고
마침 집도 가깝고 해서
지인들 도움으로 내찬내반 했는데
사용료도 네이버 포인트로 저렴하게
이용가능해서 집에서 사용해봤는데
넘 이동이 편하고 안전하네요
깁스풀때까지는 잘 사용할거 같아요
주말였는데도 문자로 바로 대응해주시고
친절한 설명과 빠른 대여
너무감사합니다~^^",5,1,243
mili******,2025-08-08 09:29:47.933000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,"깨끗하게 준비해 놓으셔서
골절수술후 집에서 잘사용했어요
판매자님 친절하세요^^",5,1,43
lio8***,2025-08-01 06:37:53.661000+00:00,제품선택: 고급 알루미늄 휠체어대여/컴팩트형(택배불가) / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,"목발짚고 다니면서 정말 휠체어 생각이 간절할 때 반신반의하면서 대였했는데 최고였어요. 비용을 아껴볼라고 무상으로 주민센터에서도 빌렸었는데 너무 무겁고, 다친 발에 맞춰서 빌릴 수가 없어서 사용하기 힘들었는데 여기는 일단 가벼워서 타고다니는 당사자인 저와 보호자도 너무 만족스러웠습니다. 컴팩트형 최고.",5,1,168
yeji****,2025-08-20 21:12:58.409000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,어머니가 골절로 이용 중 이신데 깨끗한 제품 대여했습니다. 그리고 급히 필요한 상황에서 직접 수령하는 시스템이라 바로 대여가 가능해 좋았습니다.,5,1,80
cana******,2025-07-11 00:52:12.242000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,"시간 약속 잘 지켜주시고 깨끗하고, 바퀴에 커버까지. 완전 새건데요? 가격까지 저렴. 이걸 왜 이제 알았을까요? 발가락 골절에 요긴하게 쓰고 있습니다.",5,1,84
chlp*******,2025-06-24 23:53:50.833000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 택배배송(왕복배송비포함) / 기간선택: 1개월,"집에서만 잠깐씩 사용해도 확실히 휠체어 있는게 편하더라구요.
잘 썼습니다^^",5,1,42
tige*****,2025-06-30 06:41:37.582000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,서비스도 좋고 제품도 깔끔하고 편리한 이용까지 추천합니다.,5,1,32
egeg***,2025-06-23 00:06:45.867000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,휠체어 없었으면 힘들뻔 했어요. 목욕의자도 아주 좋네요.,5,1,31
isso******,2025-06-09 22:10:21.389000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 택배배송(왕복배송비포함) / 기간선택: 2개월 약정(할인),"두달 잘 사용했고 수거도 안전하게!
휠체어의 성능과 안전은 기본이고, 휠체어가 부드럽게 잘 작동하는 편이라 좋았습니다. 
그리고 무엇보다 여기 휠체어 담당자분이 너무 친절하세요!",5,1,99
youn******,2025-07-07 11:43:51.204000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 택배배송(왕복배송비포함) / 기간선택: 1개월,"한달동안 편하게 사용했어요~
11월에 2차 수술있는데 그때도 이용할께요^^",5,1,41
may8***,2025-06-18 09:35:06.359000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,"회신도 빠르고
연장도 쉬웠고,
반납도 셀프로 할 수 있어서 좋았어요",5,1,37
aeg3***,2025-06-17 09:59:00.308000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,친절하시고 아부지 편히 잘쓰셨습니다. 서비스도 좋았습니다 ~~^^,5,1,36
egeg***,2025-05-23 00:28:41.118000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,"다리를 다쳐 거동이 불편했는데, 휠체어 하나로 삶의 질이 달라지네요. 가격도 저렴하고, 집 근처에 있어서 너무 좋습니다.",5,1,67
md****,2025-05-27 01:59:13.362000+00:00,제품선택: 고급 알루미늄 휠체어대여/분리형 / 수령방식선택: 택배배송(왕복배송비포함) / 기간선택: 1개월,"빠른 발송. 잘 받았습니다. 
예상보다 입원이 길어지셔서 사용은 못 해보았습니다.",5,1,45
jhj3******,2025-06-25 20:29:19.637000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 택배배송(왕복배송비포함) / 기간선택: 2개월 약정(할인),그럭저럭 좋았으나 타제품은 브레이크가 부더러운것이 좋았다,4,1,31
eunj*******,2025-06-10 01:19:04.988000+00:00,제품선택: 알루미늄 휠체어대여/거상형 (왼쪽다리) / 수령방식선택: 택배배송(왕복배송비포함) / 기간선택: 1개월,"티볼리 트렁크엔 안실리네요 ㅠㅠ 뒷자석에 실려서 
어찌저찌 다닙니다 ㅎ 앞바퀴하나는 갈라져있엇어용
한달 더연장예정이에요",5,1,66
kall***,2025-04-10 17:57:30.970000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 택배배송(왕복배송비포함) / 기간선택: 1개월,"좋은 제품으로 보내주셨습니다.
테이핑도 철저히 해주셔서 새제품을 받는 기분이었어요.

그래서 남편과의 첫 휠체어 여행을 무사히 잘 마쳤습니다.
최대한 조심조심 타고 나름 청소를 다 해서 반납했습니다.
휠체어를 구를 때 약간 끽끽 거리는 소리가 들리는데 쓰는덴 전혀 문제가 없었어요.
남편이 깨끗하게 사용하고 돌려줘야 한다고, 굿헬퍼스토어에 쓰시는 그 파란색 비닐 테이프를 일부러 구매해서 둘러서 보냈어요.
(그리고 소리 안나게 구리스 칠해서 보낼껄.. 하고 뒤늦게 아쉬워 했어요)

상담 과정부터 친절했기 때문에 굉장히 인상깊었습니다.
남편도 좋은 대여 업체를 선정했다고 좋아했고요.

다음에도 기회가 되면 또 부탁드리겠습니다.",5,1,351
88****,2025-06-09 00:21:04.333000+00:00,제품선택: 알루미늄 휠체어대여/거상형 (왼쪽다리) / 수령방식선택: 택배배송(왕복배송비포함) / 기간선택: 1개월,가볍고 탄탄하고 거상다리도 쉽게 각도 조절가능하고 아버지가 병원꺼보다 훨 좋다고 잘 이용하셔요.감삽니다.,5,1,58
lio8***,2025-06-12 14:03:33.658000+00:00,제품선택: 고급 알루미늄 휠체어대여/컴팩트형(택배불가) / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,"목발대신 가벼운 휠체어 타고다니니 
정말 만족스러워요!!!!!!!ㅠㅠ",5,1,38
hu****,2025-05-26 13:32:00.265000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 택배배송(왕복배송비포함) / 기간선택: 1개월,"엄마가 갑자기 다치셔서 급하게 주문했는데
너무 잘 사용하셨습니다
깨끗하게 패킹되서 오고 제품도 거의
새거인줄 알았어요!! ㅎ",5,1,69
sh4l******,2025-05-02 00:18:05.512000+00:00,제품선택: 알루미늄 휠체어대여/거상형 (왼쪽다리) / 수령방식선택: 택배배송(왕복배송비포함) / 기간선택: 1개월,어머니 무릎 수술하시고 병원 다니실 때 잘 사용했습니다. 감사합니다!,5,1,38
bora*******,2025-04-23 02:28:32.896000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 택배배송(왕복배송비포함) / 기간선택: 1개월,왼쪽 바퀴부분에서 조금 거슬리는 소리가 들리긴했는데 한번밖에 안써봐서 다시 확인해봐야할거같아요~ 대여 전 상담도 친절하셔서 기분좋게 대여했습니다^^,5,1,82
gusd*****,2025-05-05 13:35:50.846000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 택배배송(왕복배송비포함) / 기간선택: 1개월,엄청 스무스해요! 꺄끗하고 엄마가 엄청 만족하십니다!!,5,1,30
sa****,2025-04-26 02:09:47.402000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 택배배송(왕복배송비포함) / 기간선택: 1개월,"어머니 무릎 수술 받으시고 걷지를 못함셨는데, 휠체어 덕분에 집안에서 이동과 병원 진료 등 외출시에 큰 도움 받았네요.
휠체어도 깨끗해서 좋았네요.",5,1,82
supe*****,2025-03-18 01:09:13.953000+00:00,제품선택: 고급 알루미늄 휠체어대여/컴팩트형(택배불가) / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 2개월 약정(할인),"깨끗하고 빠르고 신속 정확해서 좋아요.
급하게 휠체어가 필요해서 주문하고 바로 다음날 픽업가서 가져왔어요 
렌탈비용도 저렴하고 좋고 일단 무엇보아 깨끗하고 좋았어요. 
깨끗하게 잘 관리된 제품이라 그냥 바로 썻어요. 별도로 청소하거나 하지 않아도 깨끗해요.고장난곳도 없구요.바퀴에도 비닐이 쌓여져 있어서 실내에서 필요하신분들도 바로 사용하셔도 되겠더라구요. 
저는 렌탈하고 만족도가 높게 사용중이예요.
다른데 더 많이 알아봤는데 가격대가 엄청 다양하게 있더라구요.
근데 굿헬퍼스토어가 저렴한 가격이고 바로 픽업 해서 사용가능하고 좋아요.",5,1,300
isso******,2025-04-07 10:24:02.734000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 택배배송(왕복배송비포함) / 기간선택: 2개월 약정(할인),"굿헬퍼 대여업체 설명이 친절하시고, 궁금한 사항 대응도 잘해주세요~ 제가 수원시 새빛돌봄서비스를 이용중인데, 병원동행 도와주시는 새빛돌보미 쌤들도 휠체어 퀄리티가 넘 좋다고 칭찬하셨어요! 깔끔하고 편리성이 좋아요! 👍👍",5,1,122
sa****,2025-04-18 23:48:22.376000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 택배배송(왕복배송비포함) / 기간선택: 1개월,어머니가 무릎 수술 하셔서 이용하게 되었네요. 제품도 깨끗하고 잘 작동해서 잘 사용했습니다. 어머니 회복하시는데 큰 도움 받았네요.,5,1,73
ahdd********,2025-04-23 05:42:30.531000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 택배배송(왕복배송비포함) / 기간선택: 1개월,"없었으면 아이 학교 다니기 너무 힘들었을거예요ㅠㅠ
깨끗하게 쓰고 반납하겠습니다!!",5,1,45
tini********,2025-05-21 08:30:07.206000+00:00,제품선택: 고급 알루미늄 휠체어대여/컴팩트형(택배불가) / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,휠체어도 깨끗하고 사장님도 친절하세요 감사히잘썼습니다 !,5,1,31
aeg3***,2025-05-08 12:47:25.203000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,"휠체어 깨끗하고 좋네용 ~ 너무 친절하시고, 휠체어 찾으러 간 건물 주차장도 편했어용~~^^ 휠체어 잘 쓰겠습니다",5,1,63
boun*******,2025-05-09 08:04:06.082000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 택배배송(왕복배송비포함) / 기간선택: 1개월,깨끗한상품보내주셔서편하게이용했습니다 반품도신청후바로처리되어서불편함이전혀없었어요!,5,1,44
tl****,2025-04-04 01:25:53.415000+00:00,제품선택: 고급 알루미늄 휠체어대여/분리형 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,"한달대여로 방문수령,방문반납으로 잘사용했어요.
맨날 병원에 비치된 공용 휠체어쓰다가 관리가 잘된 제품을 써보니 훨씬 좋네요.
문자상담도 빠르고 친절하셔서 휠체어 대여하실분들이라면 추천합니다.",5,1,106
tkdw*******,2025-05-05 06:02:54.722000+00:00,제품선택: 알루미늄 휠체어대여/거상형 (왼쪽다리) / 수령방식선택: 택배배송(왕복배송비포함) / 기간선택: 1개월,"한달동안 편하게 병원도 다니고
산책도 다니며 좋았습니다
휠체어 상태도 너무 좋고 편하게 사용했습니다",5,1,55
cjfd*******,2025-05-06 15:44:47.807000+00:00,제품선택: 고급 알루미늄 휠체어대여/컴팩트형(택배불가) / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,휠체어 상태도 좋고 아주 편하게 이용하였습니다. 응대도 매우 빠르고 친절하십니다,5,1,44
ss****,2025-04-05 00:53:58.917000+00:00,제품선택: 알루미늄 휠체어대여/거상형 (왼쪽다리) / 수령방식선택: 택배배송(왕복배송비포함) / 기간선택: 1개월,"편하게 잘 사용했습니다.
친절한 응대 감사합니다 ~번창하세요~~^^",5,1,37
onyu***,2025-04-04 07:19:38.526000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,깨끗하고 너무 좋은데요. 이런 서비스가 있다는 게 너무 감사합니다.,5,1,37
chun********,2025-03-31 07:49:13.019000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,"저렴한 비용과 빠른 응대, 편리한 무인시스템으로 잘 사용했습니다~ 또 쓸 있으면 굿헬퍼 이용할게요!",5,1,55
ma****,2025-04-01 04:14:48.273000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 택배배송(왕복배송비포함) / 기간선택: 2개월 약정(할인),가벼워 사용하기 편하네요. 일단 실내에서만 사용하고 았어요,5,1,32
winq***,2025-03-24 06:55:17.755000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 택배배송(왕복배송비포함) / 기간선택: 1개월,여행 오신 거동이 불편한 어머니께 잘 사용했어요!!! 너무 좋아요!,5,1,37
love******,2025-02-16 12:24:08.529000+00:00,제품선택: 최고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,부모님이 거동이 불편해지셔서 병원 진료보러 다닐때 사용하려고 대여했어요. 급하게 알아보고 대여 신청했는데 몇시간만에 바로 사용할 수 있게 도움주셔서 감사했습니다. 휠체어는 굉장히 깨끗했고 바퀴에 테이핑이 되어 있어서 필요하면 집안에서도 사용가능할 것 같았습니다. 반품할 때도 어려움 없이 반품했고 다시 사용하게 된다면 고민없이 선택할 수 있는 업체입니다.,5,1,198
boks*******,2025-03-04 12:58:20.682000+00:00,제품선택: 최고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 2개월 약정(할인),"두달 편안하게 사용했습니다
대여 반납 간편해서 좋습니다",5,1,30
jsti*****,2025-01-05 08:13:53.306000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,"저희 어머니 눈이 왔던 12월에 빙판길에 넘어지셔서 큰 수술을 하셨거든요. 휠체어 픽업 서비스를 마감 임박하게 신청을해서(퇴원이 정해지기까지 시간이 걸렸고 휠체어를 직접 픽업하는 가족이 언제가 될지몰라 여러가지 상황고려하다보니🙏🏻) 관계자분께서 퇴근하셨다가 다시 돌아오셔서 저희 어머니 사용하실 휠체어를 준비를 꼼꼼히 해주신게 너무 감사했습니다. 이런 휠체어 서비스도 처음이고 우왕자왕했는데 따뜻한 상담과 배려에 너무나도 힐링받았습니다. 덕분에 어머니 잘 사용하셨고 지금은 깁스 푸시고 조금씩 걸어다니십니다. 늦은 주문도 신경써주셔서 너무 감사했습니다. 복받으세요. 사장님😍&hearts;️&hearts;️

휠체어 컨디션 너무 깨끗하고 좋았어요. 저희는 실내에서만 사용했거든요. 바퀴들 모두 비닐 스티커가 붙어있어서 사용하기직전에 모두 벗기고 썼어요. 휠체어 전체사진뒤에 연두색 작은의자는 샤워용 의자에요^^ 그것도 잘썼습니다. 덕분에 저희집 모두 안전하게 2024년 잘 보냈어요.",5,1,494
tl****,2025-03-05 12:31:21.476000+00:00,제품선택: 고급 알루미늄 휠체어대여/분리형 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,"늦은시간인데도 빠르게 응대해주셔서 빨리 대여할수있었습니다.
깨끗이 사용하고 반납하도록 하겠습니다.
감사합니다.",5,1,61
mina*******,2025-03-31 11:50:47.274000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 2개월 약정(할인),"빠르게 잘 준비해주시고, 휠체어 너무 사용하기 좋습니다.",5,1,31
jbna****,2025-03-22 13:38:36.530000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 택배배송(왕복배송비포함) / 기간선택: 1개월,"거동이 불편하신 노모 모시고 나들이 잘 다니고 있습니다.
엄마가 너무 좋아하시네요♡",5,1,46
ange****,2025-03-22 09:32:09.529000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,"깨끗하고 좋은 제품 잘 썼어요
무인으로 24시 운영되서 편리해요",5,1,35
th****,2025-01-03 03:49:16.217000+00:00,제품선택: 알루미늄 휠체어대여/거상형 (오른쪽다리) / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 2개월 약정(할인),"와 목발쓰다 휠체어 타니 너무 편하네요.
무릎골절수술후 목발쓰니 겨드랑이도 너무 아프고
위험해서 대여하게 되었어요.
저는 내찾내반으로 직접 방문해서 받아왔어요
신랑이 경차에 실느냐고 고생좀 했대요
생각보단 무겁고 저희차가 워낙 작아서 ㅎ 
글애도 잘실어서 가져왔습니다.
리뷰처럼 아주 깔끔한 상태로요. ^-^
솔직히 집앞에도 대여해 주는곳이 있는데 
너무 지져분하다. 불친절하다. 평이 안좋아서 
이곳에서 대여했는데  저는 대만족입니다.
감기몸살로 컨디션도 안좋은데 너무 만족해서 이렇게 리뷰까지 올립니다. 망설이고 계신분들이 있다면 추천합니다. 너무 생활이 편해집니다. 몇군데 비교해봤는데 
가격도 젤 갠찮았어요. 
사장님 깨끗히 잘 쓰고 반납할께요. 감사합니다.",5,1,372
angd****,2025-03-06 00:23:44.185000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,"휠체어가 편하고 좋아요.
잘 사용하고 있어요.
가격도 저렴해서 한달더 연장했어요",5,1,44
wldu****,2025-02-25 00:42:09.118000+00:00,제품선택: 고급 알루미늄 휠체어대여/분리형 / 수령방식선택: 택배배송(왕복배송비포함) / 기간선택: 1개월,엄마가 불편하셔서 주문했는데 날짜도 맞춰오고 괜찮은거 같아여 잘쓰고 반납할께여~,5,1,44
newm****,2025-01-23 11:00:12.881000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 택배배송(왕복배송비포함) / 기간선택: 1개월,두달 더 연장하려했더니 5만5천원이라 해서 당황했네요. 일단 필요해서 연장하지만 상세페이지에 내용추가 부탁드렸는데 아직 안되어 있어요.,3,1,75
sswi****,2025-01-15 11:50:27.813000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 택배배송(왕복배송비포함) / 기간선택: 1개월,아이가 발목을 다쳐서 왔다갔다할 때 급히 필요했어요. 세척 소독해서 잘 포장해서 보내주셔서 찝찝한 느낌 하나 없이 잘 받아 썼습니다. 잘 쓰고 반납할게요.,5,1,86
